outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,50-64,Regional,2008;2013,2,151.45372253245017,155.43665162666613,False,1.8291232871260341
Incidence,50-64,Regional,2008;2014,2,151.39390486120794,155.3768339554239,False,1.821087190624163
Incidence,50-64,Regional,2008;2015,2,150.71232052267914,154.6952496168951,False,1.7721789662154508
Incidence,50-64,Regional,2008;2016,2,150.8635546289886,154.84648372320456,False,1.7872191033557
Incidence,50-64,Regional,2008;2017,2,149.87168971861922,153.85461881283518,False,1.7236966780782736
Incidence,50-64,Regional,2008;2018,2,149.9526308688946,153.93555996311056,False,1.7426172994331848
Incidence,50-64,Regional,2008;2019,2,148.18703018727342,152.16995928148938,False,1.6382377488372122
Incidence,50-64,Regional,2009;2013,2,152.38309816358105,156.36602725779701,False,1.8878477944923935
Incidence,50-64,Regional,2009;2014,2,152.29395879707022,156.27688789128618,False,1.8788161849154232
Incidence,50-64,Regional,2009;2015,2,151.52303283679367,155.50596193100964,False,1.8242201761631403
Incidence,50-64,Regional,2009;2016,2,151.54194938350707,155.52487847772304,False,1.8300207323679312
Incidence,50-64,Regional,2009;2017,2,150.42402025050018,154.40694934471614,False,1.757963150739007
Incidence,50-64,Regional,2009;2018,2,150.31934227461997,154.30227136883593,False,1.763156722198122
Incidence,50-64,Regional,2009;2019,2,148.41661504582817,152.39954414004413,False,1.6494164831270939
Incidence,50-64,Regional,2010;2014,2,152.97092589530956,156.95385498952552,False,1.9154067138489121
Incidence,50-64,Regional,2010;2015,2,152.0703162227968,156.05324531701277,False,1.854598488232106
Incidence,50-64,Regional,2010;2016,2,151.9272527512414,155.91018184545737,False,1.8510236357945995
Incidence,50-64,Regional,2010;2017,2,150.67726998656985,154.66019908078582,False,1.7711144302817965
Incidence,50-64,Regional,2010;2018,2,150.37920281995378,154.36213191416974,False,1.7632790957935913
Incidence,50-64,Regional,2010;2019,2,148.34994213744426,152.33287123166022,False,1.6416110771896228
Incidence,50-64,Regional,2011;2015,2,151.64311039750717,155.62603949172313,False,1.8272565865003418
Incidence,50-64,Regional,2011;2016,2,151.76726542563142,155.75019451984738,False,1.8414717694497822
Incidence,50-64,Regional,2011;2017,2,150.60947330697638,154.59240240119234,False,1.767326848268018
