outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,20-49,Localized,2009;2015,2,114.14776777839045,117.9255236950562,False,1.0
Incidence,20-49,Localized,2009;2016,2,114.32325155044522,118.10100746711097,False,1.0
Incidence,20-49,Localized,2009;2017,2,113.92947732513717,117.70723324180292,False,1.0
Incidence,20-49,Localized,2009;2018,2,113.718232681871,117.49598859853677,False,1.0
Incidence,20-49,Localized,2009;2019,2,113.34927924043171,117.12703515709748,False,1.0
Incidence,20-49,Localized,2010;2014,2,114.73390335918963,118.51165927585538,False,1.0
Incidence,20-49,Localized,2010;2015,2,114.4787459569278,118.25650187359355,False,1.0
Incidence,20-49,Localized,2010;2016,2,114.53506764432471,118.31282356099047,False,1.0
Incidence,20-49,Localized,2010;2017,2,114.1672618880326,117.94501780469835,False,1.0
Incidence,20-49,Localized,2010;2018,2,113.9306086144026,117.70836453106836,False,1.0
Incidence,20-49,Localized,2010;2019,2,113.55746131494868,117.33521723161445,False,1.0
Incidence,20-49,Localized,2011;2015,2,114.34215515092602,118.11991106759177,False,1.0
Incidence,20-49,Localized,2011;2016,2,114.48406201364011,118.26181793030588,False,1.0
Incidence,20-49,Localized,2011;2017,2,114.08475937871403,117.86251529537978,False,1.0
Incidence,20-49,Localized,2011;2018,2,113.86003357162392,117.63778948828968,False,1.0
Incidence,20-49,Localized,2011;2019,2,113.48482580908764,117.26258172575339,False,1.0
Incidence,20-49,Localized,2012;2016,2,114.3921590634772,118.16991498014295,False,1.0
Incidence,20-49,Localized,2012;2017,2,113.96822119202415,117.74597710868991,False,1.0
Incidence,20-49,Localized,2012;2018,2,113.7652707193257,117.54302663599145,False,1.0
Incidence,20-49,Localized,2012;2019,2,113.39336679757645,117.17112271424222,False,1.0
Incidence,20-49,Localized,2013;2017,2,113.9505971060858,117.72835302275155,False,1.0
Incidence,20-49,Localized,2013;2018,2,113.755726382259,117.53348229892475,False,1.0
Incidence,20-49,Localized,2013;2019,2,113.3828933034481,117.16064922011387,False,1.0
Incidence,20-49,Localized,2014;2018,2,113.80207044590308,117.57982636256884,False,1.0
Incidence,20-49,Localized,2014;2019,2,113.4209269189037,117.19868283556946,False,1.0
Incidence,20-49,Localized,2015;2019,2,113.45822229903933,117.2359782157051,False,1.0
Incidence,20-49,Overall,None,0,146.30189646168407,148.19077442001694,False,1.165271687661564
Incidence,20-49,Overall,2008,1,148.197846407489,151.03116334498833,False,1.2358638116917822
Incidence,20-49,Overall,2009,1,148.17883824454026,151.01215518203958,False,1.2353455570420528
Incidence,20-49,Overall,2010,1,148.2556283983567,151.088945335856,False,1.2383426816908998
Incidence,20-49,Overall,2011,1,148.29213510324757,151.1254520407469,False,1.2389198623384503
Incidence,20-49,Overall,2012,1,148.29894580333257,151.1322627408319,False,1.23716404012764
Incidence,20-49,Overall,2013,1,148.15675589856335,150.99007283606267,False,1.223693588685862
Incidence,20-49,Overall,2014,1,147.73230518978568,150.565622127285,False,1.1919476741363018
Incidence,20-49,Overall,2015,1,147.21730616718713,150.05062310468645,False,1.1559517333160332
Incidence,20-49,Overall,2016,1,146.65265219160023,149.48596912909954,False,1.1183516860274532
Incidence,20-49,Overall,2017,1,145.78166386813888,148.6149808056382,False,1.0624809089257297
Incidence,20-49,Overall,2018,1,144.3035975658858,147.13691450338513,False,1.0
Incidence,20-49,Overall,2019,1,143.13845090588802,145.97176784338734,False,1.0
Incidence,20-49,Overall,2008;2012,2,149.91461130834915,153.69236722501492,False,1.296162090901537
Incidence,20-49,Overall,2008;2013,2,149.31991921146977,153.09767512813553,False,1.2528369153465644
Incidence,20-49,Overall,2008;2014,2,148.37423787298883,152.1519937896546,False,1.1854210526827254
Incidence,20-49,Overall,2008;2015,2,147.6022239700319,151.37997988669767,False,1.1313973859818631
Incidence,20-49,Overall,2008;2016,2,146.94024113323036,150.71799704989613,False,1.0868166868155669
Incidence,20-49,Overall,2008;2017,2,145.92478347052872,149.7025393871945,False,1.0195923518837064
Incidence,20-49,Overall,2008;2018,2,144.1978240209503,147.97557993761606,False,1.0
Incidence,20-49,Overall,2008;2019,2,143.04027437814074,146.8180302948065,False,1.0
Incidence,20-49,Overall,2009;2013,2,148.7559260857522,152.53368200241798,False,1.2170291494289915
Incidence,20-49,Overall,2009;2014,2,147.61259469303837,151.39035060970414,False,1.1366323866428902
Incidence,20-49,Overall,2009;2015,2,146.8150344275561,150.59279034422187,False,1.081382817039567
Incidence,20-49,Overall,2009;2016,2,146.19335324809475,149.97110916476052,False,1.040101658799937
Incidence,20-49,Overall,2009;2017,2,145.18220067777082,148.9599565944366,False,1.0
Incidence,20-49,Overall,2009;2018,2,143.40965182969995,147.18740774636572,False,1.0
Incidence,20-49,Overall,2009;2019,2,142.29643820150983,146.0741941181756,False,1.0
Incidence,20-49,Overall,2010;2014,2,147.3020675199491,151.07982343661487,False,1.1149553661810756
Incidence,20-49,Overall,2010;2015,2,146.5061507719259,150.28390668859166,False,1.0602433152499606
Incidence,20-49,Overall,2010;2016,2,145.93828410062332,149.7160400172891,False,1.0231189561754757
Incidence,20-49,Overall,2010;2017,2,144.9421436543426,148.71989957100837,False,1.0
Incidence,20-49,Overall,2010;2018,2,143.1412847076037,146.91904062426946,False,1.0
Incidence,20-49,Overall,2010;2019,2,142.07070371631482,145.8484596329806,False,1.0
Incidence,20-49,Overall,2011;2015,2,145.8645466854336,149.64230260209936,False,1.0173350892765634
Incidence,20-49,Overall,2011;2016,2,145.44065470736984,149.2184106240356,False,1.0
Incidence,20-49,Overall,2011;2017,2,144.50109901244593,148.2788549291117,False,1.0
Incidence,20-49,Overall,2011;2018,2,142.68468176112077,146.46243767778654,False,1.0
Incidence,20-49,Overall,2011;2019,2,141.6884825332246,145.46623844989037,False,1.0
Incidence,20-49,Overall,2012;2016,2,144.89078819831957,148.66854411498534,False,1.0
Incidence,20-49,Overall,2012;2017,2,144.06745563295937,147.84521154962513,False,1.0
